ID;Komponent;Alternativa Sökord;System;Specialitet;Klass;Rörfärg;Provtagning;Övrigt;Remisstext;Remisslänk;Anges på remiss;Laboratoriet tillhanda;Provhantering;Förvaring/Hållbarhet;Skickas till;Weblänk;Pris;Uppdaterad;Sign.
19;Alkaliskt fosfatas, benspecifikt;Benspecifikt ALP, BALP, Skelett-ALP;S-;Klinisk Kemi;Pärmen;gelrör;1 gelrör (gul propp);Kompletterande analys: Beställning av totalmängd ALP (P-Alkaliskt fosfatas) rekommenderas.;Klinisk Kemi Special (Karolinska);;;;Centrifugera och avskilj serum.;Förvaras och skickas kylt om ankomst till Klinisk Kemi, Karolinska, inom 2 dygn. Vid längre tids förvaring fryses avhällt serum. ;Karolinska(S);http://www.karolinska.se/KUL/Alla-anvisningar/Anvisning/8989; 381,99 kr ;08/06/16;GS
20;Alkaliskt fosfatas, placentatyp;PLAP, ALP placentatyp;S-;Klinisk Kemi;Pärmen;gelrör;1 gelrör (gul propp).;;Klinisk Kemi Special (Karolinska);;;;Centrifugera och avskilj serum.;I kyl. Provet kan skickas i rumstemperatur om ankomst till KS, Solna, senast påföljande dag. Vid längre tids förvaring fryses avhällt serum. ;Karolinska(S);http://www.karolinska.se/KUL/Alla-anvisningar/Anvisning/8992; 338,46 kr ;28/06/16;GS
21;Alkoholer;Etanol, Metanol, Isopropanol, Aceton;S-;Klinisk Kemi;Pärmen;gelrör;"1 gelrör (gul propp). Tvätta ej huden med sprit.";"S-Etanol kan även beställas som enskild analys.Om endast Isopropanol önskas, se Isopropanol.";Klinisk Kemi Allmän (Karolinska);;;;Centrifugera och avskilj serum. OBS! Vid centrifugering får ej proppen tas bort. ;Förvaras och skickas kylt om ankomst till Klinisk Kemi, Karolinska inom 3 dygn.;Karolinska(S);http://www.karolinska.se/KUL/Alla-anvisningar/Anvisning/8993; 342,84 kr ;08/06/16;GS
22;Allergener, specifika;;S-;Klinisk Immunologi och Transfusionsmedicin;LabMaster;;Minsta mängd serum: 150 µL (dödvolym)+ 50 µL/allergen.;Vid registrering, ange allergener på text.;Remiss 5;http://www.ltv.se/imagevault/PublishedMedia/dbhd9j4oipt8tkb8itvp/Remiss_5_Klinisk_kemi_version_140331.pdf;;;;7 d i kyl, annars frys.;UAS(KITM5);;;21/07/15;GS
23;ALP i neutrofila leukocyter;LAP-score;B-;;LabMaster;;;"Analysen utförs ej längre.Vid ev förfrågningar får beställaren kontakta Patologen i Västerås.";;;;;;;;;;21/07/15;GS
24;ALP Isoenzymer;Alkaliskt fosfatas isoenzymer;S-;Klinisk Kemi;LabMaster;gelrör;1 gelrör (gul propp).;;Klinisk Kemi Special (Karolinska);;;;Centrifugera och avskilj serum.;Förvaras i kyl i 3 d, annars frys.;Karolinska(S);http://www.karolinska.se/KUL/Alla-anvisningar/Anvisning/8990; 431,28 kr ;07/07/16;GS
25;Aluminium;Al;S-;Klinisk Kemi;LabMaster;rör helt u t;1 rör helt utan tillsats (vit/svart kork). ;"Om fler rör tas på samma patient bör aluminiumprovet tas först för att undvika kontamination. Tag alltid ett slaskrör innan aluminiumprovet för att undvika kontamination från provtagningsutrustningen.Ta ej prov om patient fått gadolinium-, jod- eller bariuminnehållande kontrastmedel de senaste 96 timmarna (interferens).";Remiss 10 Klinisk Kemi (SU);http://sahlgrenska-klinkem-analyser.vgregion.se/KKAP0044.pdf;;;"Det tar lång tid för blodet att koagulera i dessa rör, låt provrör stå ca 3 h före centrifugering. (Om provet inte har koagulerat efter 3 timmar, centrifugera provet och kontrollera att det inte bildas efterkoagel.)Centrifugera (10 min, 3000g) och häll av serum till nytt rör helt utan tillsats (vit/svart kork).OBS! Använd puderfria handskar och använd inte pipett, serum ska hällas av pga  kontamineringsrisk från utensilier!";I kyl. Kyltransport ej nödvändig.;SU(KK);http://sahlgrenska-klinkem-analyser.vgregion.se/0861.html;;21/07/15;GS
26;Alzheimermarkörer;Demensmarkörer, Tau, Beta-Amyloid, Ptau, fosfo-tau;Csv-;Klinisk Kemi;LabMaster;;"Cerebrospinalvätska (Csv) i ett centrifugrör med gul skruvkork (sterilt plaströr, polypropen, polypropylen).Vuxna: 10-12 mL, barn <16 år: 3 mL.Vid stickblödning kasseras den första mL, anges på remissen.Provröret vänds minst 5 ggr efter provtagning.";"I gruppen ingår Csv-Tau, ß-Amyloid och Fosfo-tau (Ptau).Rör av polypropen (sterilt centrifugrör med gul skruvkork) skall användas då många proteiner fastnar på väggarna i rör av glas eller polystyren, vilket medför ett för lågt värde.";Remiss 7 Klinisk Kemi (SU);http://sahlgrenska-klinkem-analyser.vgregion.se/KKAP0028.pdf;;;"Centrifugera 10 min vid 2000g och avskilj till kryorör (2 mL Sarstedt polypropen). Minsta volym: 0,5 mL.OBS! Centrifugering efter eventuell cellräkning!Prov får inte tinas efter infrysning!";"Fryst prov skickas fryst.I undantagsfall kan prov skickas ofryst provtagningsdagen (mån-tors, ej dag före helg) om prov ankommer Neurokemi Mölndal inom 24 h.";SU(nk);http://sahlgrenska-klinkem-analyser.vgregion.se/12394.html;;21/07/15;GS
27;Amatoxin;Svampgift, flugsvampgift;U-;Klinisk Kemi;Pärmen;;1 centrifugrör. Minst 10 mL.;Kontakta alltid Klinisk kemi, Karolinska Solna före provtagning/provskickning, telefon 08-123 910 90 (Kundtjänst Klinisk kemi). ;Remiss 5;http://www.ltv.se/imagevault/PublishedMedia/dbhd9j4oipt8tkb8itvp/Remiss_5_Klinisk_kemi_version_140331.pdf;;;;Förvaras och skickas kylt. Fryst om transporttiden överskrider 4h.;Karolinska(S);http://www.karolinska.se/KUL/Alla-anvisningar/Anvisning/8994;;08/06/16;GS
28;AMH;Anti-Mylleriskt hormon;S-;Klinisk Kemi;LabMaster;gelrör;1 gelrör (gul propp).;"Minst två prover bör tas i två olika menscykler före kliniska ställningstagnaden vid till exempel in vitro fertilisering.Kompletterande analyser: S-FSH, S-LH, S-Östradiol, S-Inhibin B. ";Klinisk Kemi Special (Karolinska);;;;Centrifugera och avskilj serum.;Avhällt prov kan förvaras i kyl 3 dygn efter provtagning. Därefter fryses avhälld serum och transporteras fryst.;Karolinska(S);http://www.karolinska.se/KUL/Alla-anvisningar/Anvisning/9003; 347,33 kr ;29/06/16;GS
29;Amikacin;Biklin;S-;Klinisk Kemi och Farmakologi;Pärmen;rör u t;1 rör utan tillsats (röd propp). Ej gel-rör! ;;Läkemedel (UAS);http://www.akademiska.se/Global/DAT/Provtagningsanvisningar/UAS%20-%20LAKEMEDEL%2015-37%20FRAM.pdf;;;Centrifugera (7 min, 2400g) inom 5h. Pipettera serum, lämna minst en centimeter till blodkropparna, till ett plaströr (sekundärrör).;"Ocentrifugerat blodprov förvaras i rumstemperatur. Serum i sekundärrör är hållbart i 7 dygn vid 2 - 8°C. Efter 7 dygn fryses serum vid <-15°C. Fryst prov skickas fryst.";UAS(KKF);http://labhandboken.u5054800.fsdata.se/findny.asp?State=2&Analysid=1743;;08/06/16;GS
30;Aminosyror, kvantitativt;;Csv-;CMMS;Pärmen;rör u t;1 rör utan tillsats (röd propp). Minst 500 µL CSV.;Observera att det för en relevant bedömning behövs ett samtidigt taget prov för analys av aminosyror i plasma .;Metabolutredningar - CMMS (Karolinska);http://www.karolinska.se/globalassets/global/kul/kul-gemensamma/kul-lankblock-remisser-for--utskrift/metabolutredning.pdf;eventuell stickblödning, anamnes, frågeställning, läkemedelsintag;Omedelbart;Provet ska centrifugeras och avpipetteras så snart som möjligt , vilket är särskilt viktigt vid eventuell stickblödning. ;Skall förvaras fryst. Undvik att skicka prover per post på torsdagar och fredagar. Informationsansvarig: CMMS Biokemiavdelningen.;Karolinska(S);http://www.karolinska.se/KUL/Alla-anvisningar/Anvisning/9470;;08/06/16;GS
31;Amiodaron;;S-;Klinisk Kemi;Centuri;rör u t;"1 serumrör utan tillsats (röd propp). Lämplig mängd 1 ml. Minsta mängd serum 0.2ml.Prov tas omedelbart före dos (morgondos).";;Läkemedel (LMS);http://www.skane.se/Upload/Webbplatser/Labmedicin/Verksamhetsomr%c3%a5den/Klinisk%20kemi/Remisser/Remiss_l%c3%a4kemedel_ver%201%205%20140923.pdf;beställarkod: VÅKENN;;Låt provet stå i 30 min. Centrifugera sedan (10 min, 2000g) och avskilj serum.;Provet behöver inte frysas eller kylas under transporten. Provet är hållbart i rumstemperatur i 3 dygn och i -20 °C i 3 månader.;LMS(SK);http://www.analysportalen-labmedicin.skane.se/viewAnalys.asp?Nr=47; 330,00 kr ;21/07/15;GS
32;Amitriptylin;Nortriptylin, Saroten, Tryptizol;P-/S-;Klinisk Farmakologi;LabMaster;;"1 NaHeparin-rör (mörkblå propp) eller 1 rör utan tillsats (röd propp). Volym 2 mL venblod.Prov tas före dos.";"Analys utförs 1 ggn/v.Svar även på den aktiva metaboliten Nortriptylin";Läkemedel, Klinisk farmakologi (Karolinska);;provtagningsdatum och klockslag, datum och klockslag för senast intagen dos, aktuell dos,  datum för senaste dosjustering och föregående dos, övriga läkemedel, vikt och frågeställning;;Centrifugera och avskilj plasma/serum.;I kyl/rumstemperatur i 7 d, annars frys. Fryst prov skickas fryst.;Karolinska(H);http://www.karolinska.se/KUL/Alla-anvisningar/Anvisning/9335; 605,69 kr ;01/07/16;GS
33;Ammoniumjon;;;;Centuri;;;Om Ammoniumjon begärs, analysera Ammoniak.;;;;;;;;;;21/07/15;GS
34;Amylas (total);;P-/S-;Klinisk Kemi;LabMaster;;1 LiHeparin-rör eller 1 gelrör (gul propp). ;;Klinisk Kemi Special (Karolinska);;;;Centrifugera och avskilj plasma/serum.;3 d i kyl, annars frys.;Karolinska(S);http://www.karolinska.se/KUL/Alla-anvisningar/Anvisning/8996; 22,85 kr ;23/06/16;GS
35;Amylas (total);;U-;Klinisk Kemi;Pärmen;;1 urinprovtagningsrör 6 mL med snabel.;;Remiss 5;http://www.ltv.se/imagevault/PublishedMedia/dbhd9j4oipt8tkb8itvp/Remiss_5_Klinisk_kemi_version_140331.pdf;;;;Förvaras i kyl.;SU(KK);http://sahlgrenska-klinkem-analyser.vgregion.se/12581.html;;08/06/16;GS
36;Amyloid A;SAA, Serum Amyloid A protein;P-/S-;Klinisk Kemi;LabMaster;;1 gel-rör (serum eller LiHeparin).;;Klinisk Kemi Allmän (Karolinska);;;;Centrifugera och avskilj plasma/serum.;3 d i kyl, annars frys.;Karolinska(S);http://www.karolinska.se/KUL/Alla-anvisningar/Anvisning/8997; 87,97 kr ;21/07/15;GS
37;Amyloid, beta-;;Csv-;Klinisk Kemi;Centuri;;Lumbalpunktion minst 10 mL tappas i ett rör (barn <16 år 3 ml). Vid stickblödning kasseras den första mL. Minsta volym 0.5 mL. Provröret vänds minst 5 ggr (fram och åter) efter provtagning.;;Remiss 7 Klinisk Kemi (SU);http://sahlgrenska-klinkem-analyser.vgregion.se/KKAP0028.pdf;;;Likvor kan fraktioneras för analys på andra laboratorier. Efter cellräkning centrifugeras provet vid 2000 g i 10 min och hälls över i ett nytt polypropenrör.;Om provet anländer till laboratoriet inom 24 h, transporteras provet i rumstemperatur förpackat i provhylsa och vadderat kuvert. Om provet inte anländer till laboratoriet inom 24 h skall provet centrifugeras före transport. 0.5 mL centrifugerad likvor fryses i kryorör och skickas fryst. Obs! Får ej tina. Transporteras med kolsyreis i frigolitlåda;SU(KK);http://sahlgrenska-klinkem-analyser.vgregion.se/10922.html;;21/07/15;GS
38;Anabola androgena steroider;AAS;U-;Klinisk Farmakologi;Pärmen;;"Övervakad provtagning.10 ml urinrör med gul kork ska användas (rör med platt botten). Fyll max till 1 cm från övre kanten.Minst 5 ml urin ska finnas i provröret, annars underkänns provet och analysen blir inte utförd.";;Missbruksmedel i urin, Klinisk Farmakologi (Karolinska);;;;;Förvara provet i kyl i väntan på transport. Skickas måndag-torsdag. Skickas med A-post. ;Karolinska(S);http://www.karolinska.se/KUL/Alla-anvisningar/Anvisning/9438; 1 289,08 kr ;09/06/16;GS
39;Androstendion;A-4, A4;S-;Klinisk Kemi;LabMaster;gelrör;"1 gelrör (gul propp).Prov ska tas mellan kl 09 -13 p g a dygnsvariation.";;Klinisk Kemi Special (Karolinska);;provtagningstid;;Centrifugera och avskilj serum.;Skickas till Solna samma dag som provtagningen, annars fryses serum.;Karolinska(S);http://www.karolinska.se/KUL/Alla-anvisningar/Anvisning/8998; 315,91 kr ;21/07/15;GS
40;Anti fosfolipidantikroppar;Fosfolipidantikroppar:, P- Lupusantikoagulans, S-Kardiolipin-ak (IgG/IgM), S-b-2-Glykoprot I-ak (IgG/IgM);;;Centuri;;;;;;;;;;;;;21/07/15;GS
41;Antifaktor Xa;Heparinaktivitet, LMW, lågmolekylärt Heparin;P-;Klinisk Kemi och Farmakologi;Centuri;NaCitrat;1 NaCitrat-rör (ljusblå/svart propp) (3.5 mL);;Allmän (UAS);http://www.akademiska.se/Global/DAT/Provtagningsanvisningar/allman.pdf;antal timmar efter senaste injektion;Inom 30 min;"Centrifugeras inom 1h (20 min, 2000-2200g). Avskilj plasman omedelbart till två ellerman-rör. (Obs! Pipettera av plasma och lämna ca 1 cm ovanför blodkropparna.)Fryses omedelbart i -70 C.";Fryses omedelbart i -70 C. I undantagsfall fryses provet i - 20 C i max 5 d.;UAS(KKF);http://labhandboken.u5054800.fsdata.se/findny.asp?State=3&Analysid=636;;21/07/15;GS
42;Anti-IgA-antikroppar;IgA;S-;Klinisk Immunologi och Transfusionsmedicin;Centuri;gelrör;1 gelrör (gul propp) 5 mL. Minsta mängd 1 mL.;;Klinisk immunologi/transfusionsmedicin - Immunologi (Karolinska);;;;Centrifugera och avskilj serum.;I kyl (7 dagar).;Karolinska(S);http://www.karolinska.se/KUL/Alla-anvisningar/Anvisning/9607; 16,12 kr ;21/07/15;GS
43;Anti-Intercellulärsubstans;Intercellulärsubstans-antikroppar (IgG);S-;Klinisk Immunologi och Transfusionsmedicin;LabMaster;gelrör;1 gelrör (gul propp). Minsta mängd serum: 500 µL (räcker även till S- Basalmembran-AK).;Analyseras 2 ggr/v.;Autoimmunitet och Allergi (UAS);http://www.akademiska.se/Global/DAT/Provtagningsanvisningar/40003_allergi.pdf;;;Centrifugera och avskilj serum.;I kyl.;UAS(KITM5);http://labhandboken.u5054800.fsdata.se/findny.asp?State=2&Analysid=364;;24/07/15;GS
44;Antitrypsin;a1-Antitrypsin, alfa1- ;F-;Klinisk Kemi;Centuri;;Minst 2 mL faeces (i burk med skruvlock);Om läckage från magsäcken misstänks bör syrasekretionshämmare ges några dagar innan provtagningen.;Remiss 5;http://www.ltv.se/imagevault/PublishedMedia/dbhd9j4oipt8tkb8itvp/Remiss_5_Klinisk_kemi_version_140331.pdf;;;;Rumstemperatur. Skickas provtagningsdagen, så att prov ankommer lab Umeå nästa dag (vardag), annars fryses prov och skickas då fryst.;NUS;https://webappl.vll.se/appl/qnova/qnwebportal.nsf/WebMainFrameset?OpenFrameSet; 309,00 kr ;21/07/15;GS
45;Apixaban;Eliquis, antitrombotiska läkemedel, NOAK, NOAC;P-;Klinisk Farmakologi;Pärmen;NaCitrat;"1 NaCitrat-rör (ljusblå/svart propp).Provtagning före dos.";För mätning av koagulationsmonitorering (aktivitetsmätning) beställs istället Apixaban, akut.;Läkemedel, Klinisk farmakologi (Karolinska);;provtagningsdatum och klockslag, datum och klockslag för senast intagen dos, aktuell dos, datum för senaste dosjustering och föregående dos, orsak till provtagning, vikt och S-kreatinin, ange interagerande läkemedel (amiodaron/dronedaron/verapamil/diltiazem/kinidin/triazol-antimykotika/proteashämmare/karbamazepin/fenytoin/fenobarbital/rifampicin/efavirens/johannesört);;Centrifugera och avskilj plasma.;Plasma kan förvaras/transporteras i rumstemperatur/kylt om ankomst till Klinisk farmakologi, Huddinge, sker inom 7 dygn från provtagning. Vid längre tids förvaring/transport skall provet hållas fryst.;Karolinska(H);http://www.karolinska.se/KUL/Alla-anvisningar/Anvisning/10184;;22/06/16;GS
46;Apixaban, akut;Eliquis, antitrombotiska läkemedel, NOAK, NOAC, Anti-Xa;P-;Klinisk Kemi;Centuri;NaCitrat;1 NaCitrat-rör (ljusblå/svart propp). Ta provet genom direkt venpunktion, ej via inneliggande kanyl. ;"Provtagning cirka 3 timmar efter Apixaban-intag återspeglar i regel maximal plasmakoncentration.För mätning av direkt plasmakoncentration beställs istället P-Apixaban. ";Remiss 5;http://www.ltv.se/imagevault/PublishedMedia/dbhd9j4oipt8tkb8itvp/Remiss_5_Klinisk_kemi_version_140331.pdf;provtagningstid;Inom 15 min;"Centrifugeras inom 30 min efter provtagning vid 15°C (2000g, 15 min). Avskilj plasma till ett plaströr.OBS! Lämna kvar 5-7mm plasma ovanför de röda blodkropparna för att undvika tillblandning av trombocyter.";Avhälld plasma fryses vid -70 C. Proverna förpackas i fryspaket, rikligt med kolsyreis och skickas med expresspost. Skicka proverna i början av veckan för att undvika distributionsproblem.;Karolinska(S);http://www.karolinska.se/KUL/Alla-anvisningar/Anvisning/10177;;22/06/16;GS
